SKU,Critical Stock Level,Expiry Alert - Days to expiry ,,
Curd 1Kg Tub,4,7,,
Curd Pouch,3,7,,
Paneer 165gm,10,10,,
Paneer 200 gm,10,10,,
Paneer 500 gm,3,10,,
Mysore Pak,2,15,,
Doodh Peda,12,15,,
Badam Milk 175 ml,360,45,,
Badam Milk Glass,4,45,,
Pista Milk Glass,4,45,,
Chocolate Thickshake,24,45,,
Vannila Thickshake,24,45,,
Strawberry Thickshake,24,45,,
UHT Lassi,24,45,,
UHT Buttermilk,24,45,,
Recharge Apple,48,45,,
Recharge Mango,48,45,,
Recharge Orange,48,45,,
110ml Badam Milk,180,45,,
Milky Shot Chocolate,24,45,,
Milkyshot Caramel,24,45,,
Kesar Milk Pet,180,45,,
